"Step","bright-planet-137 - test/psnr_scat","bright-planet-137 - test/psnr_scat__MIN","bright-planet-137 - test/psnr_scat__MAX"
"415","33.3658447265625","33.3658447265625","33.3658447265625"
"416","43.8184814453125","43.8184814453125","43.8184814453125"
"417","31.89580535888672","31.89580535888672","31.89580535888672"
"418","38.7275505065918","38.7275505065918","38.7275505065918"
"419","44.54098129272461","44.54098129272461","44.54098129272461"
"420","43.02405548095703","43.02405548095703","43.02405548095703"
"421","37.40770721435547","37.40770721435547","37.40770721435547"
"422","39.82132339477539","39.82132339477539","39.82132339477539"
"423","43.45392990112305","43.45392990112305","43.45392990112305"
"424","44.16103744506836","44.16103744506836","44.16103744506836"
"425","45.375003814697266","45.375003814697266","45.375003814697266"
"426","38.68376159667969","38.68376159667969","38.68376159667969"
"427","36.57368087768555","36.57368087768555","36.57368087768555"
"428","47.024147033691406","47.024147033691406","47.024147033691406"
"429","37.98507308959961","37.98507308959961","37.98507308959961"
"430","45.48310089111328","45.48310089111328","45.48310089111328"
"431","36.05649185180664","36.05649185180664","36.05649185180664"
"432","37.45751953125","37.45751953125","37.45751953125"
"433","38.394981384277344","38.394981384277344","38.394981384277344"
"434","45.54111862182617","45.54111862182617","45.54111862182617"
"435","46.702579498291016","46.702579498291016","46.702579498291016"
"436","45.90925216674805","45.90925216674805","45.90925216674805"
"437","34.008182525634766","34.008182525634766","34.008182525634766"
"438","41.11164855957031","41.11164855957031","41.11164855957031"
"439","36.86760330200195","36.86760330200195","36.86760330200195"
"440","37.005287170410156","37.005287170410156","37.005287170410156"
"441","45.58507537841797","45.58507537841797","45.58507537841797"
"442","37.93941879272461","37.93941879272461","37.93941879272461"
"443","45.23344802856445","45.23344802856445","45.23344802856445"
"444","29.410120010375977","29.410120010375977","29.410120010375977"
"445","38.61701202392578","38.61701202392578","38.61701202392578"
"446","46.36430358886719","46.36430358886719","46.36430358886719"
"447","42.63396072387695","42.63396072387695","42.63396072387695"
"448","42.01939392089844","42.01939392089844","42.01939392089844"
"449","37.02577209472656","37.02577209472656","37.02577209472656"
"450","41.584312438964844","41.584312438964844","41.584312438964844"
"451","28.7861385345459","28.7861385345459","28.7861385345459"
"452","40.996246337890625","40.996246337890625","40.996246337890625"
"453","32.936153411865234","32.936153411865234","32.936153411865234"
"454","39.86611557006836","39.86611557006836","39.86611557006836"
"455","41.345848083496094","41.345848083496094","41.345848083496094"
"456","43.1635627746582","43.1635627746582","43.1635627746582"
"457","38.0648307800293","38.0648307800293","38.0648307800293"
"458","40.741111755371094","40.741111755371094","40.741111755371094"
"459","34.472347259521484","34.472347259521484","34.472347259521484"
"460","44.47547912597656","44.47547912597656","44.47547912597656"
"461","31.59813117980957","31.59813117980957","31.59813117980957"
"462","33.71330642700195","33.71330642700195","33.71330642700195"
"463","35.794097900390625","35.794097900390625","35.794097900390625"
"464","34.15039825439453","34.15039825439453","34.15039825439453"
